MovieID,age,smile,anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
m65,17,0.0,0,0.001,0,0,0,0.982,0.005,0.011;
m47,18,0.0,0,0,0,0.01,0,0.056,0,0.933;
m47,18,0.9,0,0.002,0,0,0.009,0.985,0.003,0;
m10,19,0.0,0,0.001,0,0.004,0,0.939,0.019,0.038;
m9,21,75.4,0,0,0,0,0.754,0,0.246,0;
m66,22,0.0,0,0,0,0.981,0,0.03,0.02,0.3;
m34,20,0.0,0,0,0,0,0,0.984,0.015,0;
m67,18,0.1,0.001,0.004,0,0,0.001,0.982,0.012,0;
m1,19,0.0,0,0,0,0,0,0.984,0.016,0;
m4,18,100.0,0,0,0,0,1,0,0,0;
m68,18,0.0,0,0,0,0,0,0.991,0.009,0;
m9,20,61.0,0,0.09,0,0,0.61,0.299,0,0;
m2,19,0.0,0,0,0,0,0,0.999,0.001,0;
m7,21,0.0,0,0,0.001,0.003,0,0.064,0,0.932;
m69,21,0.0,0,0,0,0.935,0,0.03,0,0.4;
m16,18,100.0,0,0,0,0,1,0,0,0;
m25,19,0.0,0,0,0,0,0,0,0,1;
m70,19,0.0,0.001,0,0,0,0,0.993,0.006,0;
m4,19,99.8,0,0,0,0,0.998,0,0,0.002;
m17,20,0.6,0.001,0.726,0.001,0,0.006,0.263,0.002,0;
m25,21,0.1,0,0,0,0.045,0,0.743,0,0.212;
m31,20,0.0,0,0,0,0,0,0.998,0.001,0.001;
m71,33,0.0,0.001,0,0,0,0,0.996,0.003,0;
m72,18,0.0,0,0,0,0,0,1,0,0;
m32,19,0.1,0.001,0.001,0.003,0.325,0.001,0.006,0.004,0.66;
m73,18,40.3,0,0.001,0,0,0.403,0.597,0,0;
m27,19,0.0,0,0.061,0,0,0,0.926,0.013,0;
m7,18,0.0,0,0,0,0,0,0.988,0.012,0;
m74,22,0.0,0,0,0,0.835,0,0.1,0,0.5;
m47,19,0.0,0.011,0.011,0,0,0,0.961,0.017,0;
m75,22,0.0,1,0,0,0,0,0,0,0;
m76,18,40.3,0,0.001,0,0,0.403,0.597,0,0;
m16,20,0.1,0,0,0,0,0.001,0.443,0.556,0;
m45,20,0.0,0,0,0,0,0,0.997,0.003,0;
m2,19,1.3,0,0,0,0,0.013,0,0.987,0;
m14,18,20.7,0,0.001,0,0,0.207,0.792,0,0;
m76,18,40.3,0,0.001,0,0,0.403,0.597,0,0;
m14,17,0.0,0,0,0,0,0,0.979,0.019,0;
m77,19,2.5,0,0.005,0,0,0.025,0.952,0.003,0.015;
m33,22,0.0,0.986,0,0.014,0,0,0,0,0;
m40,18,40.3,0,0.001,0,0,0.403,0.597,0,0;
m9,17,0.0,0,0.999,0,0,0,0,0,0;
m78,18,0.1,0,0.001,0,0,0.001,0.998,0,0;
m78,18,0.1,0,0.001,0,0,0.001,0.998,0,0;
m40,18,14.4,0,0,0,0,0.144,0.855,0,0;
m79,18,48.7,0,0.017,0,0,0.487,0.496,0,0;
m40,18,0.0,0,0,0,0,0,0.993,0.007,0;
m79,18,9.2,0,0.002,0,0,0.092,0.906,0,0;
m80,17,0.0,0,0,0,0,0,0.999,0.001,0;
